Date,sp_Open,sp_High,sp_Low,sp_Close,nd_Open,nd_High,nd_Low,nd_Close,dj_Open,dj_High,dj_Low,dj_Close,ph_Open,ph_High,ph_Low,ph_Close,label
2012-11-07,1428.27,1428.27,1388.14,1394.53,2976.46,2977.81,2926.79,2937.29,13228.24,13228.32,12876.60,12932.73,379.04,379.22,371.08,373.27,0
2012-11-08,1394.53,1401.23,1377.51,1377.51,2942.09,2949.70,2895.58,2895.58,12932.81,12980.23,12811.24,12811.32,373.94,375.76,368.80,368.80,0
2012-11-09,1377.55,1391.39,1373.03,1379.85,2892.57,2931.11,2889.81,2904.87,12811.17,12890.19,12743.39,12815.39,368.58,374.26,367.98,369.70,0
2012-11-12,1379.86,1384.87,1377.19,1380.03,2916.38,2920.01,2896.55,2904.25,12815.93,12861.28,12783.00,12815.08,370.77,371.68,367.51,370.02,1
2012-11-13,1380.03,1388.81,1371.39,1374.53,2880.77,2909.00,2877.06,2883.89,12808.71,12898.25,12748.51,12756.18,367.32,370.15,366.36,366.46,0
2012-11-14,1374.64,1380.13,1352.50,1355.49,2896.81,2900.10,2842.86,2846.81,12746.54,12797.73,12542.68,12570.95,368.98,369.89,360.19,360.94,0
2012-11-15,1355.41,1360.62,1348.05,1353.33,2847.84,2855.64,2826.75,2836.94,12571.10,12600.59,12496.56,12542.38,361.23,362.61,355.31,356.14,1
2012-11-16,1353.36,1362.03,1343.35,1359.88,2838.90,2859.57,2810.80,2853.13,12542.31,12604.17,12471.49,12588.31,357.04,357.42,349.79,356.00,1
2012-11-19,1359.88,1386.89,1359.88,1386.89,2886.00,2916.07,2884.75,2916.07,12590.23,12796.19,12590.23,12795.96,359.40,363.23,359.06,363.14,1
2012-11-20,1386.82,1389.77,1377.04,1387.81,2910.73,2919.96,2893.38,2916.68,12790.89,12808.56,12701.07,12788.51,361.17,362.21,358.07,361.81,1
2012-11-21,1387.79,1391.25,1386.39,1391.03,2919.14,2928.17,2912.42,2926.55,12788.36,12845.99,12786.13,12836.89,361.88,363.71,361.11,362.51,1
2012-11-23,1391.03,1409.16,1391.03,1409.15,2943.62,2967.19,2940.68,2966.85,12833.13,13011.45,12832.98,13009.53,364.37,370.95,364.26,369.16,1
2012-11-26,1409.15,1409.15,1397.68,1406.29,2961.02,2976.93,2951.73,2976.78,13008.45,13008.45,12900.17,12967.37,368.69,371.60,367.99,370.63,1
2012-11-27,1406.29,1409.01,1398.03,1398.94,2974.56,2985.32,2965.13,2967.79,12963.38,12980.19,12868.26,12878.13,369.56,373.24,369.15,369.81,1
2012-11-28,1398.77,1410.31,1385.43,1409.93,2952.02,2992.17,2935.88,2991.78,12875.56,12989.10,12765.32,12985.11,367.37,374.12,364.33,373.83,1
2012-11-29,1409.96,1419.70,1409.04,1415.95,3005.41,3017.18,2996.30,3012.03,12977.35,13062.56,12961.92,13021.82,375.01,377.01,372.26,374.83,1
2012-11-30,1415.95,1418.86,1411.63,1416.18,3013.25,3014.25,2999.72,3010.24,13022.05,13053.74,12988.68,13025.58,374.95,376.21,373.14,374.35,1
2012-12-03,1416.34,1423.73,1408.46,1409.46,3029.21,3030.28,2999.57,3002.20,13027.73,13087.32,12959.42,12965.60,376.77,377.78,372.20,372.54,1
2012-12-04,1409.46,1413.14,1403.65,1407.05,3000.44,3002.90,2980.93,2996.69,12966.45,13022.51,12940.07,12951.78,373.08,376.00,370.97,375.03,1
2012-12-05,1407.05,1415.56,1398.23,1409.28,2993.20,2994.73,2958.26,2973.70,12948.96,13089.11,12923.44,13034.49,374.65,376.07,371.82,374.46,1
2012-12-06,1409.43,1413.95,1405.93,1413.94,2967.99,2996.53,2962.02,2989.27,13026.19,13076.88,13007.84,13074.04,375.13,378.66,374.14,378.63,1
2012-12-07,1413.95,1420.34,1410.90,1418.07,2999.69,3003.27,2968.82,2978.04,13072.87,13157.28,13072.87,13155.13,379.15,380.27,376.85,379.46,1
2012-12-10,1418.07,1421.64,1415.64,1418.55,2973.19,2997.64,2971.56,2986.96,13154.89,13195.35,13139.08,13169.88,378.92,382.70,378.92,381.83,1
2012-12-11,1418.55,1434.27,1418.55,1427.84,3005.43,3033.14,3003.82,3022.30,13170.34,13306.57,13170.34,13248.44,383.62,390.17,383.58,389.00,0
2012-12-12,1427.84,1438.59,1426.76,1428.48,3033.93,3035.19,3008.49,3013.81,13250.05,13329.44,13227.44,13245.45,390.56,391.29,386.96,387.74,0
2012-12-13,1428.48,1431.36,1416.00,1419.45,3007.83,3026.51,2982.63,2992.16,13241.38,13264.41,13147.19,13170.72,386.42,390.46,382.44,383.67,0
2012-12-14,1419.45,1419.45,1411.88,1413.58,2976.95,2985.33,2963.80,2971.33,13170.80,13190.41,13118.46,13135.01,382.53,383.91,379.11,381.03,0
2012-12-17,1413.54,1430.67,1413.54,1430.36,2975.50,3011.22,2973.54,3010.60,13135.17,13244.33,13134.63,13235.39,381.48,384.18,379.21,382.62,0
2012-12-18,1430.47,1448.00,1430.47,1446.79,3020.82,3056.65,3016.40,3054.53,13236.61,13365.86,13232.58,13350.96,384.06,389.73,383.48,388.73,0
2012-12-19,1446.79,1447.75,1435.80,1435.81,3059.03,3061.82,3044.36,3044.36,13351.04,13357.70,13251.74,13251.97,390.30,393.24,389.44,389.47,1
2012-12-20,1435.81,1443.70,1432.82,1443.69,3050.30,3053.53,3034.15,3050.39,13246.67,13314.64,13216.03,13311.72,389.97,390.07,385.78,389.49,1
