,Date,sp_Open,sp_High,sp_Low,sp_Close,nd_Open,nd_High,nd_Low,nd_Close,dj_Open,dj_High,dj_Low,dj_Close,ph_Open,ph_High,ph_Low,ph_Close,sp_trend,nd_trend,dj_trend,ph_trend
73,2021-04-20,4159.18,4683.0,4662.59,4134.94,3158.86,13927.67,13698.67,3121.43,34034.18,34034.18,33687.01,33821.3,3158.86,3171.17,3106.19,3121.43,1,1,1,1
74,2021-04-21,4128.42,4663.46,4621.19,4173.42,3128.23,13951.35,13706.86,3207.25,33808.3,34160.34,33773.8,34137.31,3128.23,3209.28,3113.74,3207.25,1,0,0,0
75,2021-04-22,4170.46,4635.15,4613.34,4134.98,3203.85,14015.87,13771.04,3133.17,34109.88,34126.57,33717.19,33815.9,3203.85,3206.89,3119.01,3133.17,1,1,1,1
76,2021-04-23,4138.78,4620.34,4595.06,4180.17,3147.1,14062.74,13856.83,3196.98,33804.52,34157.57,33713.29,34043.49,3147.1,3207.33,3145.75,3196.98,1,0,0,0
77,2021-04-26,4185.03,4608.08,4567.59,4187.62,3199.51,14154.03,14019.5,3250.26,34044.23,34148.94,33941.37,33981.57,3199.51,3256.17,3195.37,3250.26,1,0,1,0
78,2021-04-27,4188.25,4597.55,4562.84,4186.72,3266.25,14171.24,14064.28,3225.61,33932.13,34043.98,33870.46,33984.93,3266.25,3266.25,3220.34,3225.61,0,0,1,0
79,2021-04-28,4185.14,4584.57,4551.66,4183.18,3208.6,14133.65,14034.7,3178.49,33860.46,33946.6,33805.56,33820.38,3208.6,3208.6,3175.61,3178.49,0,0,1,0
80,2021-04-29,4206.14,4598.53,4569.17,4211.47,3218.36,14211.57,13952.8,3202.5,33855.64,34087.21,33744.28,34060.36,3218.36,3222.29,3153.98,3202.5,0,0,1,0
81,2021-04-30,4198.1,4572.62,4537.36,4181.17,3145.51,14084.76,13941.63,3108.99,33988.75,33988.75,33784.96,33874.85,3145.51,3169.38,3101.38,3108.99,1,1,1,1
82,2021-05-03,4191.98,4559.67,4524.0,4192.66,3130.06,14042.12,13881.51,3073.38,33904.89,34221.06,33904.89,34113.23,3130.06,3134.06,3060.0,3073.38,0,0,1,0
83,2021-05-04,4179.04,4551.44,4526.89,4164.66,3029.3,13795.57,13485.59,3024.31,34080.2,34147.78,33765.68,34133.03,3029.3,3036.1,2969.12,3024.31,0,0,1,0
84,2021-05-05,4177.06,4540.87,4524.4,4167.59,3063.24,13753.05,13553.93,3042.88,34163.99,34331.2,34039.66,34230.34,3063.24,3080.69,3022.7,3042.88,0,0,0,0
85,2021-05-06,4169.14,4520.4,4496.41,4201.62,3032.55,13635.73,13439.39,3066.22,34245.11,34561.29,34185.06,34548.53,3032.55,3068.53,3002.74,3066.22,0,0,0,0
86,2021-05-07,4210.34,4488.75,4447.47,4232.6,3103.95,13828.62,13690.75,3112.03,34578.27,34811.39,34464.31,34777.76,3103.95,3129.87,3085.74,3112.03,0,0,0,0
87,2021-05-10,4228.29,4475.82,4447.69,4188.43,3077.28,13687.93,13401.74,2967.11,34785.27,35091.56,34741.57,34742.82,3077.28,3078.39,2965.42,2967.11,0,0,0,0
88,2021-05-11,4150.34,4439.73,4386.75,4152.1,2876.27,13423.31,13107.67,2976.01,34572.74,34572.74,34075.31,34269.16,2876.27,2982.84,2872.31,2976.01,0,0,0,0
89,2021-05-12,4130.55,4372.87,4329.92,4063.04,2906.44,13288.61,13002.54,2851.15,34206.4,34207.87,33555.22,33587.66,2906.44,2926.86,2842.33,2851.15,1,1,1,1
90,2021-05-13,4074.99,4374.89,4342.09,4112.5,2899.8,13247.87,13007.24,2893.94,33624.74,34181.77,33623.49,34021.45,2899.8,2934.45,2862.88,2893.94,1,1,1,1
91,2021-05-14,4129.58,4415.88,4360.59,4173.85,2932.04,13460.88,13242.97,2981.42,34050.86,34454.05,34050.86,34382.13,2932.04,3006.14,2907.4,2981.42,0,1,0,1
